_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67baa6b79707b5a8a8c76742,,57.57,87.95,57.57,65.8,72;0;0;0,time,15,-1,2,15.01,0,3.5,false,false,english,,normal,false,false,false,,1740285623000
67baa6a29707b5a8a8c7668c,,80.79,95.28,80.79,72.92,101;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1740285601000
67baa68f9707b5a8a8c765e6,,58.37,89.16,58.37,60.5,73;0;0;0,time,15,-1,1,15.01,0,0.2,false,false,english,,normal,false,false,false,,1740285583000
67b9e6239707b5a8a8c0ea94,,60.79,93.9,60.79,75.13,76;0;0;0,time,15,-1,4,15,0,8.01,false,false,english,,normal,false,false,false,,1740236323000
67b9e6069707b5a8a8c0e94a,,71.99,92.16,77.59,69.06,90;2;0;0,time,15,-1,6,15,0,17.73,false,false,english,,normal,false,false,false,,1740236294000
67b9e5de9707b5a8a8c0e776,,72.75,98.91,72.75,79.49,91;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1740236253000
67b9dd6d9707b5a8a8c083d2,,67.98,91.49,68.78,71.18,85;1;0;0,time,15,-1,1,15,0,3.95,false,false,english,,normal,false,false,false,,1740234093000
67b9dd579707b5a8a8c082b3,,67.98,90.63,72.78,62.26,85;2;1;0,time,15,-1,18,15,0,51.88,false,false,english,,normal,false,false,false,,1740234071000
67b9dcfa9707b5a8a8c07e71,,56.77,80.77,79.96,83.8,71;9;1;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1740233978000
67b9dcea9707b5a8a8c07dc0,,62.39,87.37,68.79,69.13,78;2;0;0,time,15,-1,13,15,0,31.17,false,false,english,,normal,false,false,false,,1740233962000
67b9dcaf9707b5a8a8c07b0f,,63.99,84.16,74.39,65.51,80;5;1;0,time,15,-1,1,15,0,4.14,false,false,english,,normal,false,false,false,,1740233903000
67b9dc999707b5a8a8c07a11,true,87.88,96.49,87.88,72.91,110;0;0;0,time,15,-1,7,15.02,0,10.04,false,false,english,,normal,false,false,false,,1740233881000
67b9dc749707b5a8a8c07843,,82.52,94.23,82.52,68.29,49;0;0;0,words,10,-1,2,7.13,0,7.83,false,false,english,,normal,false,false,false,,1740233844000
67b9dc629707b5a8a8c07760,,69.77,88.68,97.31,77.67,38;3;1;0,words,10,-1,1,6.54,0,1.89,false,false,english,,normal,false,false,false,,1740233826000
67b9dc309707b5a8a8c07532,true,105.44,100,105.44,87.92,51;0;0;0,words,10,-1,2,5.8,0,4.53,false,false,english,,normal,false,false,false,,1740233776000
67b9dc1f9707b5a8a8c07459,,56.58,76.92,72.57,57.55,46;7;1;1,words,10,-1,2,9.76,0,0.69,false,false,english,,normal,false,false,false,,1740233759000
67b9dc089707b5a8a8c0735d,,99.88,100,99.88,69.42,43;0;0;0,words,10,-1,2,5.17,0,5.63,false,false,english,,normal,false,false,false,,1740233736000
67b9dbfa9707b5a8a8c072ca,,78.81,96.3,78.81,74.57,52;0;0;0,words,10,-1,2,7.92,0,5.1,false,false,english,,normal,false,false,false,,1740233722000
67b9dbea9707b5a8a8c07219,,63.1,89.83,63.1,55.59,53;0;0;0,words,10,-1,0,10.08,0,0,false,false,english,,normal,false,false,false,,1740233706000
67b9dbde9707b5a8a8c0718d,,70.14,90.63,70.14,64.52,58;0;0;0,words,10,-1,10,9.92,0,19.9,false,false,english,,normal,false,false,false,,1740233694000
67b9dbb29707b5a8a8c06f76,,61.87,84.94,65.82,61.66,251;6;0;0,words,50,-1,4,48.68,0,29.55,false,false,english,,normal,false,false,false,,1740233650000
67b9db559707b5a8a8c06b4c,,65.32,94.93,65.32,64.09,260;0;0;0,words,50,-1,11,47.77,0,43.25,false,false,english,,normal,false,false,false,,1740233557000
67b9daea9707b5a8a8c066b7,,55.28,85.81,56.35,52.72,259;1;0;0,words,50,-1,4,56.22,0,13.6,false,false,english,,normal,false,false,false,,1740233450000
67b9da9e9707b5a8a8c06395,,65.32,93.91,66.59,64.43,257;2;0;0,words,50,-1,12,47.22,0,75.75,false,false,english,,normal,false,false,false,,1740233374000
67b9d1019707b5a8a8bffaf9,,63.86,93.09,65.13,65.7,251;1;0;0,words,50,-1,0,47.17,0,0,false,false,english,,normal,false,false,false,,1740230913000
67b9d0cf9707b5a8a8bff8e2,,59.64,91.54,59.64,65.9,247;0;0;0,words,50,-1,0,49.7,0,0,false,false,english,,normal,false,false,false,,1740230863000
67b89d76201060369ce35189,,72.42,89.09,92.63,61.24,43;4;0;0,words,10,-1,2,7.13,0,3.95,false,false,english,,normal,false,false,false,,1740152182000
67b89d68201060369ce35096,,73.34,95.16,73.34,61.98,57;0;0;0,words,10,-1,4,9.33,0,4.81,false,false,english,,normal,false,false,false,,1740152168000
67b89d55201060369ce34f39,,64.01,95.56,72.02,64.46,40;1;0;0,words,10,-1,4,7.5,0,8.69,false,false,english,,normal,false,false,false,,1740152149000
67b89d41201060369ce34dbf,,77.56,90.91,77.56,77.31,50;0;0;0,words,10,-1,5,7.74,0,8.55,false,false,english,,normal,false,false,false,,1740152129000
67b89d2c201060369ce34c4d,,72.04,89.66,72.04,65.49,51;0;0;0,words,10,-1,0,8.5,0,0,false,false,english,,normal,false,false,false,,1740152108000
67b89d21201060369ce34b98,,58.01,78.57,61.96,61.55,44;3;0;1,words,10,-1,12,9.1,0,28.85,false,false,english,,normal,false,false,false,,1740152097000
67b89cee201060369ce34804,,68.06,91.47,68.06,66.95,266;0;0;0,words,50,-1,0,46.9,0,0,false,false,english,,normal,false,false,false,,1740152046000
67b89cbc201060369ce34498,,55.03,86.58,55.03,63.26,253;0;0;0,words,50,-1,0,55.17,0,0,false,false,english,,normal,false,false,false,,1740151996000
67b87986201060369ce10abd,,104.64,100,104.64,78.57,51;0;0;0,words,10,-1,0,5.85,0,0,false,false,english,,normal,false,false,false,,1740142982000
67b8797e201060369ce10a61,,86.44,93.88,94.3,58.91,44;2;0;0,words,10,-1,2,6.11,0,5.48,false,false,english,,normal,false,false,false,,1740142974000
67b8796f201060369ce10994,,54,80.39,72.52,80.06,35;4;0;0,words,10,-1,2,7.78,0,1.62,false,false,english,,normal,false,false,false,,1740142959000
67b87963201060369ce108f5,,85.52,95.92,85.52,83.67,47;0;0;0,words,10,-1,5,6.59,0,10.38,false,false,english,,normal,false,false,false,,1740142947000
67b8794b201060369ce107a6,,69.9,95.83,69.9,67.09,46;0;0;0,words,10,-1,2,7.9,0,6.66,false,false,english,,normal,false,false,false,,1740142923000
67b87936201060369ce1068a,,58.19,85.28,58.19,74.46,139;0;0;0,words,25,-1,1,28.66,0,18.3,false,false,english,,normal,false,false,false,,1740142902000
